Date,Open,High,Low,Close,Volume
06/22/2020,247.465,254.9,247.29,251.27,11093697
06/23/2020,251.26,254.775,247.57,252.81,8791498
06/24/2020,254.5,258.75,248.6,255.9,9862774
06/25/2020,258.23,260.29,252.6601,259.51,7490491
06/26/2020,260.52,261.62,250.36,256.8,17142899
06/29/2020,254.97,255.9,243.59,248.56,8436437
06/30/2020,249.87,256.83,248.35,253.54,6305519
07/01/2020,251.35,261.0,247.21,259.13,6803313
07/02/2020,261.0,263.8,258.0,261.74,5629042
07/06/2020,265.0,275.08,259.32,261.0,12250167
07/07/2020,261.55,266.45,258.1,262.1,7819728
07/08/2020,263.8,268.5281,261.29,266.32,6012921
07/09/2020,269.01,272.7,264.22,269.52,5396039
07/10/2020,271.77,278.16,268.64,275.87,6354790
07/13/2020,278.63,281.0,256.3376,260.3,9293047
07/14/2020,260.96,265.33,240.45,260.01,8713138
07/15/2020,253.7,257.5,248.12,256.22,6073639
07/16/2020,250.39,253.0,243.43,248.54,5420142
07/17/2020,247.17,250.9368,241.29,246.54,4626550
07/20/2020,246.4865,271.35,245.99,268.58,9784919
07/21/2020,268.75,269.75,258.2,260.44,4761971
07/22/2020,261.95,265.4,255.81,261.18,4581585
07/23/2020,260.84,264.9,249.21,251.5,4589358
07/24/2020,246.2,250.21,237.2,246.56,4303198
07/27/2020,249.28,252.97,246.22,252.33,3328563
07/28/2020,252.7,258.91,251.32,252.18,3366216
07/29/2020,255.55,259.93,251.15,252.39,3333748
07/30/2020,250.3135,256.3263,239.32,250.0,7926051
07/31/2020,253.5,255.2,248.3601,253.91,3381064
08/03/2020,256.83,271.1,256.11,268.0,6787878
08/04/2020,268.0,269.19,262.0,267.34,3087253
08/05/2020,266.29,275.0939,262.52,272.9,4517659
08/06/2020,273.87,274.48,263.91,268.25,3602884
08/07/2020,266.45,268.0,252.79,258.73,5024681
08/10/2020,259.14,261.44,244.54,250.0,5714036
08/11/2020,245.48,245.48,230.0,231.04,9730520
08/12/2020,232.3,239.4,230.75,236.72,3932256
08/13/2020,238.15,250.1,238.15,247.25,4749728
08/14/2020,249.44,252.4299,242.4,244.91,3662809
08/17/2020,248.7,267.94,248.51,266.15,8959207
08/18/2020,271.72,277.78,265.5,276.8,6517049
08/19/2020,274.6849,279.59,270.3221,273.51,4674004
08/20/2020,274.45,290.88,273.99,290.69,9318392
08/21/2020,291.0,295.97,286.9442,289.68,5250117
08/24/2020,293.0,293.87,274.1059,282.28,6463517
08/25/2020,279.0,293.7216,275.8101,290.44,4602867
08/26/2020,293.0,302.0,290.85,295.27,5692064
08/27/2020,295.69,301.52,290.33,294.68,5560590
08/28/2020,299.22,303.58,297.26,299.27,5353424
08/31/2020,304.01,325.8998,301.27,325.1,23468139
09/01/2020,439.51,478.0,410.68,457.69,53346788
09/02/2020,445.67,445.67,410.0,423.56,18866825
09/03/2020,399.55,409.9,367.0,381.32,20304337
09/04/2020,375.5,386.01,346.76,369.89,13230097
09/08/2020,350.7,365.4999,345.68,350.88,7966481
09/09/2020,369.75,394.7992,362.1234,389.65,17325783
09/10/2020,400.0,407.82,378.36,384.48,11932129
09/11/2020,389.13,400.7504,373.05,383.0,9297631
09/14/2020,391.7449,404.36,386.13,403.51,7963100
09/15/2020,410.0,413.5,391.0501,410.94,8495611
09/16/2020,406.2738,419.42,404.22,408.17,6746892
09/17/2020,389.0,417.82,387.0,413.125,9260430
09/18/2020,419.8,442.0,407.5,438.73,22315720
09/21/2020,434.0,470.0,434.0,468.47,16843837
09/22/2020,477.0,494.8999,458.75,492.6,16440579
09/23/2020,489.49,529.74,483.2534,500.53,27051300
09/24/2020,487.01,502.25,457.69,464.98,17896568
09/25/2020,474.87,500.0,474.87,496.5,12906775
09/28/2020,502.41,519.77,479.57,487.66,17621339
09/29/2020,488.13,489.8,463.0,465.5,15241179
09/30/2020,464.21,481.5552,462.0,470.11,8971123
10/01/2020,477.0,483.73,465.0,482.99,7859345
10/02/2020,485.005,507.4899,481.0,482.23,12791720
10/05/2020,493.97,496.9,475.26,485.37,7534656
10/06/2020,480.51,487.8999,473.2229,478.25,6097682
10/07/2020,482.5,487.5,477.11,480.61,4449496
10/08/2020,484.0,489.49,475.58,478.55,4193060
10/09/2020,487.99,498.9,484.08,492.41,8719691
10/12/2020,501.43,506.11,490.4779,491.54,6979462
10/13/2020,494.0,520.0,493.0,518.79,8941474
10/14/2020,518.78,519.8,498.6,509.25,8327654
10/15/2020,509.08,540.05,506.5,536.4,16520601
10/16/2020,544.0,565.45,543.25,559.0,13745750
10/19/2020,572.5,588.84,562.55,568.34,15193234
