"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"JUN 2016",93.723,92.410,95.137,101.335,88.627,98.752,97.232,89.737,99.826,99.324,96.411,92.791,94.478
"JUL 2016",93.041,92.999,95.106,88.323,88.761,97.993,97.247,89.156,99.922,102.270,96.415,93.139,94.322
"AGO 2016",93.161,92.961,95.067,87.209,88.736,97.950,97.290,89.110,100.739,103.918,96.417,93.398,94.855
"SEP 2016",93.165,92.136,95.072,91.653,89.150,98.179,97.200,89.600,100.761,99.652,96.693,93.207,94.932
"OCT 2016",94.230,92.220,95.105,101.913,91.018,98.513,97.316,90.631,100.789,98.376,97.195,93.003,95.048
"NOV 2016",94.572,92.107,95.140,107.132,91.625,98.755,97.337,90.310,100.758,98.505,97.285,92.618,95.080
"DIC 2016",95.132,92.525,95.507,104.884,92.824,98.676,97.403,91.812,100.746,101.706,97.300,92.730,95.121
"ENE 2017",94.609,93.194,96.334,88.806,95.455,97.832,97.551,92.687,100.338,100.163,97.337,92.545,95.234
"FEB 2017",94.269,93.337,96.622,87.366,92.601,97.637,97.621,92.822,100.789,100.463,97.331,92.945,95.203
"MAR 2017",94.249,93.015,96.634,91.013,91.184,97.836,97.751,92.481,100.862,100.359,97.351,93.334,95.326
"ABR 2017",95.154,92.936,96.563,100.257,91.292,98.070,97.904,92.937,101.331,101.849,97.349,94.271,95.396
"MAY 2017",95.097,93.210,96.660,102.698,91.525,98.333,98.071,91.896,101.879,99.536,97.353,94.310,95.411
"JUN 2017",95.138,93.169,96.682,101.490,91.782,98.341,98.075,91.351,101.879,100.690,97.359,94.851,95.565
"JUL 2017",94.482,93.134,96.693,88.672,91.569,97.397,98.119,91.305,101.402,103.487,97.356,95.136,95.249
"AGO 2017",94.670,93.007,96.682,87.611,91.685,97.431,97.988,92.044,101.431,104.654,97.367,95.519,95.435
"SEP 2017",94.835,93.254,96.721,92.213,91.762,97.726,97.956,92.612,101.510,101.416,97.500,95.307,95.429
"OCT 2017",95.710,94.382,96.806,102.406,93.039,97.958,97.846,92.604,101.355,99.803,97.992,94.982,95.503
"NOV 2017",96.147,94.151,96.919,107.568,93.882,98.228,97.759,93.446,101.396,99.670,98.015,94.317,95.533
"DIC 2017",96.190,94.095,97.126,105.375,94.026,98.227,97.804,93.593,100.984,101.114,98.029,94.486,95.782
"ENE 2018",95.153,94.379,97.549,89.230,93.520,97.570,97.848,94.355,101.210,99.660,98.032,94.372,95.636
"FEB 2018",95.281,94.223,97.965,87.858,93.881,97.609,97.819,93.811,103.139,101.043,98.038,94.856,95.946
"MAR 2018",95.393,94.305,98.264,91.679,92.071,97.846,97.903,93.743,102.934,101.398,98.043,95.420,95.995
"ABR 2018",96.181,94.410,98.486,101.096,91.994,98.175,97.992,94.816,104.204,100.396,98.047,95.752,96.150
"MAY 2018",97.048,95.069,98.717,103.676,93.635,98.403,98.253,96.553,104.281,100.356,98.051,96.177,96.271
"JUN 2018",97.302,95.499,98.791,102.414,94.134,98.487,98.306,96.902,104.162,101.256,98.051,96.481,96.380
"JUL 2018",96.604,94.833,98.736,89.517,94.976,97.654,98.201,96.712,104.118,102.850,98.087,97.045,96.150
"AGO 2018",96.742,94.870,98.682,88.420,95.587,97.692,98.034,96.861,104.043,103.553,98.097,97.239,96.407
"SEP 2018",96.978,94.864,98.757,93.112,96.621,97.887,98.089,97.256,104.160,100.366,98.442,97.153,96.365
"OCT 2018",97.875,96.024,98.834,103.457,96.717,98.245,98.256,97.884,103.392,99.802,98.658,96.795,96.572
"NOV 2018",97.768,95.513,98.812,108.566,96.486,98.474,98.550,96.533,103.444,99.211,98.988,96.253,96.659
"DIC 2018",97.329,95.359,98.453,106.360,96.354,98.570,98.637,93.823,103.289,101.061,99.005,96.215,96.869
"ENE 2019",96.085,95.274,98.830,89.957,95.808,98.096,98.694,94.141,103.842,98.781,99.038,96.049,96.945
